2024-08-13 21:29:32,424 - INFO - Proxy works! IP address: 111.83.20.149
2024-08-13 21:29:32,920 - INFO - Proxy works! IP address: 111.83.20.149
2024-08-13 21:29:33,871 - INFO - Getting https://scholar.google.com/scholar?hl=en&q=autonomous%20learning%20strategies&as_ylo=2000&as_yhi=2024&as_vis=0&as_sdt=0,33
2024-08-13 21:29:37,005 - INFO - HTTP Request: GET https://scholar.google.com/scholar?hl=en&q=autonomous%20learning%20strategies&as_ylo=2000&as_yhi=2024&as_vis=0&as_sdt=0,33 "HTTP/1.1 200 OK"
2024-08-13 21:29:37,246 - INFO - Getting https://scholar.google.com/scholar?start=10&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:29:39,348 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=10&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:29:39,571 - INFO - Getting https://scholar.google.com/scholar?start=20&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:29:40,971 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=20&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:29:41,203 - INFO - Getting https://scholar.google.com/scholar?start=30&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:29:42,974 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=30&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:29:43,211 - INFO - Getting https://scholar.google.com/scholar?start=40&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:29:45,062 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=40&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:29:45,295 - INFO - Getting https://scholar.google.com/scholar?start=50&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:29:46,781 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=50&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:29:47,010 - INFO - Getting https://scholar.google.com/scholar?start=60&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:29:49,182 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=60&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:29:49,395 - INFO - Getting https://scholar.google.com/scholar?start=70&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:29:51,301 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=70&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:29:51,539 - INFO - Getting https://scholar.google.com/scholar?start=80&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:29:53,355 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=80&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:29:53,580 - INFO - Getting https://scholar.google.com/scholar?start=90&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:29:55,096 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=90&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:29:55,206 - INFO - Getting https://scholar.google.com/scholar?start=100&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:29:56,917 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=100&q=autonomous+learning+strategies&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:29:57,054 - INFO - Saved 100 results for query: autonomous learning strategies
2024-08-13 21:29:57,054 - INFO - Getting https://scholar.google.com/scholar?hl=en&q=self-directed%20learning%20in%20higher%20education&as_ylo=2000&as_yhi=2024&as_vis=0&as_sdt=0,33
